ds,price_yhat,price_lower,price_upper,rent_yhat,rent_lower,rent_upper,projected_roi_pct,prediction_id,target_date_id,is_latest_forecast,generated_at
2027-01-01,1522214.960437862,1481514.2709618967,1568086.1346268759,120934.82491145043,115339.82054348433,126388.09872019058,1067.4,202701_202606221956,20270101,1,2026-06-22 19:56:34.300409
2027-02-01,1511302.078387342,1468416.4300564907,1556544.8622210529,122804.38997048365,117043.46595097813,128763.3184167027,1067.4,202702_202606221956,20270201,1,2026-06-22 19:56:34.300409
2027-03-01,1536400.965158141,1493838.4671887776,1580737.3071250108,121261.2772576801,115899.93363109534,127181.84502169307,1067.4,202703_202606221956,20270301,1,2026-06-22 19:56:34.300409
2027-04-01,1548302.3967994894,1509041.6664098657,1594675.0245337023,125710.72257935692,119640.45509541812,131607.56733971185,1067.4,202704_202606221956,20270401,1,2026-06-22 19:56:34.300409
2027-05-01,1519302.2109146044,1476564.4508985598,1559202.641031782,123686.6043351771,117948.81488218144,129434.45068209404,1067.4,202705_202606221956,20270501,1,2026-06-22 19:56:34.300409
2027-06-01,1526692.1711960586,1481622.5970733205,1570881.6875607928,124757.97075155337,119085.34164849322,130450.20179899276,1067.4,202706_202606221956,20270601,1,2026-06-22 19:56:34.300409
2027-07-01,1550439.3350277217,1506765.6871095295,1594471.5809489675,124611.99221969118,119035.36472125225,130144.8607705195,1067.4,202707_202606221956,20270701,1,2026-06-22 19:56:34.300409
2027-08-01,1552169.4122971671,1506588.8984201427,1596070.141611926,123912.58411997184,117830.31945042097,129625.24830711065,1067.4,202708_202606221956,20270801,1,2026-06-22 19:56:34.300409
2027-09-01,1527340.702454359,1484572.327270057,1573384.4281738617,124859.59977197631,119059.62834038684,130828.66530952886,1067.4,202709_202606221956,20270901,1,2026-06-22 19:56:34.300409
2027-10-01,1546241.7076996325,1501828.270737943,1589541.0139620986,125270.57573515382,119480.99714976668,131393.62570223105,1067.4,202710_202606221956,20271001,1,2026-06-22 19:56:34.300409
2027-11-01,1556954.7519988962,1515105.7680072796,1599087.4760767615,125701.99278788835,119271.90475112376,131563.6790130583,1067.4,202711_202606221956,20271101,1,2026-06-22 19:56:34.300409
2027-12-01,1540555.2666473193,1495325.4126783647,1582220.941254482,125659.70297981378,119930.34838527537,131504.47459826828,1067.4,202712_202606221956,20271201,1,2026-06-22 19:56:34.300409
2028-01-01,1544537.038856393,1498134.3536333048,1585720.948918556,123910.91330854289,117901.34676089481,129656.19271906286,1067.4,202801_202606221956,20280101,1,2026-06-22 19:56:34.300409
2028-02-01,1518348.7419976539,1475221.8027749092,1563791.4697321334,124676.4191187965,118623.85406623609,130351.39116483458,1067.4,202802_202606221956,20280201,1,2026-06-22 19:56:34.300409
2028-03-01,1512035.3862078069,1468790.2441322664,1556639.4230132767,125202.21016857459,118874.03758816396,130556.78877145803,1067.4,202803_202606221956,20280301,1,2026-06-22 19:56:34.300409
2028-04-01,1549027.5865563885,1507862.4661367412,1591996.3188473207,125391.2468127083,119531.49811107613,131353.19702793134,1067.4,202804_202606221956,20280401,1,2026-06-22 19:56:34.300409
2028-05-01,1563995.186883601,1521306.6210997463,1608273.3034323433,127307.87536176796,120944.28548170443,132819.4078423305,1067.4,202805_202606221956,20280501,1,2026-06-22 19:56:34.300409
2028-06-01,1587303.0817081737,1545550.7675242028,1632633.9975498826,127355.84576167319,121193.89064359844,133592.47099798036,1067.4,202806_202606221956,20280601,1,2026-06-22 19:56:34.300409
2028-07-01,1541205.5622000354,1496536.3942115852,1582742.1618792303,124870.63160369922,118281.70706129183,130510.16207311298,1067.4,202807_202606221956,20280701,1,2026-06-22 19:56:34.300409
2028-08-01,1553703.9045707388,1510321.4652870975,1596784.9915142276,127537.27065174418,121756.47813371549,133315.87009476824,1067.4,202808_202606221956,20280801,1,2026-06-22 19:56:34.300409
2028-09-01,1570133.143080518,1522702.7007811584,1613722.2138318857,127098.33704995555,120713.1470975676,133109.30033587874,1067.4,202809_202606221956,20280901,1,2026-06-22 19:56:34.300409
2028-10-01,1544627.1496169025,1499433.8231291412,1590219.1965587162,127837.42606553962,121605.28421347572,134061.95803673135,1067.4,202810_202606221956,20281001,1,2026-06-22 19:56:34.300409
2028-11-01,1584247.975328357,1540843.4207318157,1625445.9138918503,127610.4920287322,121256.23656029673,133353.83865237705,1067.4,202811_202606221956,20281101,1,2026-06-22 19:56:34.300409
2028-12-01,1567360.0003539503,1525366.4612349588,1612895.8841289387,128503.67075836525,121868.74140938887,134645.0520622906,1067.4,202812_202606221956,20281201,1,2026-06-22 19:56:34.300409
2029-01-01,1557580.1672226945,1513908.8503691456,1603135.4209436323,123901.99129580036,117694.11621508597,130045.81579566978,1067.4,202901_202606221956,20290101,1,2026-06-22 19:56:34.300409
2029-02-01,1577976.7574610084,1530568.8916767,1620435.041241382,127941.61975846635,121471.90384665556,134199.82441326152,1067.4,202902_202606221956,20290201,1,2026-06-22 19:56:34.300409
2029-03-01,1546726.59532938,1499216.2485721973,1590715.7343105508,126851.12475730652,120242.36755029511,132437.70137644454,1067.4,202903_202606221956,20290301,1,2026-06-22 19:56:34.300409
2029-04-01,1575861.3016567887,1526309.8563576697,1619859.54495293,128470.91366197467,122392.74475002667,134872.56138519137,1067.4,202904_202606221956,20290401,1,2026-06-22 19:56:34.300409
2029-05-01,1576125.2746408326,1533822.001471964,1620040.0016898469,129085.48684698081,122543.55859717296,135480.95306290992,1067.4,202905_202606221956,20290501,1,2026-06-22 19:56:34.300409
2029-06-01,1593641.4107283324,1547189.970310562,1641136.8940834978,129456.41334219462,122542.95956183856,135807.2783090588,1067.4,202906_202606221956,20290601,1,2026-06-22 19:56:34.300409
2029-07-01,1570748.5889740568,1523069.4196916379,1617064.586540916,127765.51722104021,120914.3898222642,133809.78666587605,1067.4,202907_202606221956,20290701,1,2026-06-22 19:56:34.300409
2029-08-01,1580074.5439115097,1536262.3455865842,1624201.2114970998,129315.35075981366,122574.46428641252,136629.9956904647,1067.4,202908_202606221956,20290801,1,2026-06-22 19:56:34.300409
2029-09-01,1582639.9915149868,1537950.798458885,1623739.6129322702,129326.60851561713,122336.6670091632,135073.15304267567,1067.4,202909_202606221956,20290901,1,2026-06-22 19:56:34.300409
2029-10-01,1571894.9752989283,1528554.0546223319,1616621.2073432878,129955.744953909,122858.88125886885,136098.91183903048,1067.4,202910_202606221956,20291001,1,2026-06-22 19:56:34.300409
2029-11-01,1602031.3969663742,1557406.538092374,1648055.4074092035,129949.09706461604,122698.33569458526,136501.07162330567,1067.4,202911_202606221956,20291101,1,2026-06-22 19:56:34.300409
2029-12-01,1585165.4566343427,1538619.9511401139,1631170.4750625957,130525.84682872932,124075.7892996648,137180.6110737032,1067.4,202912_202606221956,20291201,1,2026-06-22 19:56:34.300409
2030-01-01,1580055.0360781795,1533667.6891354555,1624126.903280534,126885.27270333472,120089.33331928834,133615.95175867697,1067.4,203001_202606221956,20300101,1,2026-06-22 19:56:34.300409
2030-02-01,1584673.83367402,1538661.671712746,1629411.5542185258,129846.55715946015,122505.4845186517,136081.99846983675,1067.4,203002_202606221956,20300201,1,2026-06-22 19:56:34.300409
2030-03-01,1581600.111910422,1535886.9088452968,1624548.3393838743,128514.13102862274,121351.51396984556,135249.00693263632,1067.4,203003_202606221956,20300301,1,2026-06-22 19:56:34.300409
2030-04-01,1602368.701227192,1558105.7857298204,1647006.0937361605,131554.47223597637,123758.43322956147,138264.52048531309,1067.4,203004_202606221956,20300401,1,2026-06-22 19:56:34.300409
2030-05-01,1587969.5279356444,1539249.5423382616,1631714.3241416474,130855.11373112144,123328.26508603204,137506.39251937778,1067.4,203005_202606221956,20300501,1,2026-06-22 19:56:34.300409
2030-06-01,1600178.2817919364,1553781.0248180164,1646996.6073741396,131567.25668912078,123686.58481509783,138465.04812800488,1067.4,203006_202606221956,20300601,1,2026-06-22 19:56:34.300409
2030-07-01,1600575.4967525653,1553336.4376649994,1646728.7902737488,130656.3355520311,123469.12067568059,137434.74024370656,1067.4,203007_202606221956,20300701,1,2026-06-22 19:56:34.300409
2030-08-01,1606311.5751669714,1560639.9786716874,1652559.0053588646,131083.8326777812,123478.94879500034,137674.95393673846,1067.4,203008_202606221956,20300801,1,2026-06-22 19:56:34.300409
2030-09-01,1595120.1495591563,1545560.43521529,1641096.4792773197,131557.13977654732,124520.34187954532,138322.97978581797,1067.4,203009_202606221956,20300901,1,2026-06-22 19:56:34.300409
2030-10-01,1599181.0638810296,1550711.1399056583,1648105.647546182,132076.91785013117,124354.83135802884,138827.67682205906,1067.4,203010_202606221956,20301001,1,2026-06-22 19:56:34.300409
2030-11-01,1619679.0191954442,1570007.1245795474,1664960.2471363035,132289.77844388317,124658.4141706433,139851.68678826137,1067.4,203011_202606221956,20301101,1,2026-06-22 19:56:34.300409
2030-12-01,1602975.2856115007,1554045.1076019227,1651009.36225637,132554.68444259782,125215.81983118232,139650.30793475613,1067.4,203012_202606221956,20301201,1,2026-06-22 19:56:34.300409
2031-01-01,1602452.5570239536,1553540.1045688612,1649528.7521354903,129865.31157177787,121814.74027882755,137110.11605953172,1067.4,203101_202606221956,20310101,1,2026-06-22 19:56:34.300409
2031-02-01,1591539.674973287,1544433.3216354384,1639751.9605596436,131734.87663080508,123329.91994958477,139261.14372329207,1067.4,203102_202606221956,20310201,1,2026-06-22 19:56:34.300409
2031-03-01,1616638.5617440122,1565071.7347795924,1664105.91105633,130191.76391800624,122716.34440152156,138077.65083912652,1067.4,203103_202606221956,20310301,1,2026-06-22 19:56:34.300409
2031-04-01,1628539.9933855387,1578869.5959512661,1676064.443523424,134641.20923967697,127019.33134997373,142202.9094766232,1067.4,203104_202606221956,20310401,1,2026-06-22 19:56:34.300409
2031-05-01,1599539.8075004935,1553354.4086378147,1644548.758820186,132617.0909954946,124534.67313349235,139920.5787082502,1067.4,203105_202606221956,20310501,1,2026-06-22 19:56:34.300409
2031-06-01,1606929.767781939,1559506.7799611052,1655209.4781340195,133688.4574118766,126041.8882791069,141402.68438533635,1067.4,203106_202606221956,20310601,1,2026-06-22 19:56:34.300409
2031-07-01,1630676.9316137226,1580962.6080581082,1678231.7428055438,133542.4788800105,125086.8510829917,141157.4632324656,1067.4,203107_202606221956,20310701,1,2026-06-22 19:56:34.300409
2031-08-01,1632407.0088831768,1584977.0882645578,1679851.7287772333,132843.07078030077,124500.09602151769,140370.42108635523,1067.4,203108_202606221956,20310801,1,2026-06-22 19:56:34.300409
2031-09-01,1607578.2990403208,1557077.7161558284,1657356.6618008553,133790.0864322993,125347.1566286173,141642.09887762985,1067.4,203109_202606221956,20310901,1,2026-06-22 19:56:34.300409
